200A;181;299
201A;289;166
201B;289;198
202A;377;171
202B;377;203
203A;441;167
203B;441;202
204A;504;171
204B;503;201
205A;559;167
205B;559;196
206A;623;163
206B;623;192
207A;700;166
207B;700;194
208A;749;167
208B;749;199
209A;820;162
209B;820;193
210A;905;163
210B;905;191
211A;1024;180
211B;1024;210
212A;1150;175
212B;1150;205
213A;1235;175
213B;1235;203
214A;1300;174
214B;1300;202
215A;1373;174
215B;1373;199
216A;1420;173
216B;1420;200
217A;1491;171
217B;1491;200
218A;1627;268
218B;1657;268
219A;1613;390
219B;1652;390
220A;1486;344
220B;1486;377
221A;1435;345
221B;1435;378
222A;1287;350
222B;1287;380
223A;1238;350
223B;1238;382
224A;1086;350
224B;1089;381
225A;1025;350
225B;1025;381
226A;737;344
226B;737;374
227A;616;348
227B;616;378
228A;501;343
228B;501;371
229A;387;370
230A;273;364
230B;273;394
231A;223;365
231B;223;394
